event_id,user_id,timestamp,event_name
E5000,U1022,2024-03-13 20:00:00,search
E5001,U1062,2024-03-24 18:00:00,document_edit
E5002,U1142,2024-03-23 11:00:00,homepage_view
E5003,U1152,2024-02-06 09:00:00,login
E5004,U1144,2024-01-17 04:00:00,homepage_view
E5005,U1193,2024-02-17 06:00:00,document_edit
E5006,U1052,2024-01-28 08:00:00,login
E5007,U1103,2024-02-16 15:00:00,login
E5008,U1103,2024-01-18 13:00:00,homepage_view
E5009,U1178,2024-03-11 08:00:00,signup
E5010,U1038,2024-01-13 17:00:00,login
E5011,U1178,2024-01-13 03:00:00,login
E5012,U1197,2024-01-31 01:00:00,signup
E5013,U1133,2024-01-16 08:00:00,document_edit
E5014,U1066,2024-03-13 05:00:00,search
E5015,U1134,2024-03-15 21:00:00,settings_click
E5016,U1178,2024-02-25 21:00:00,file_upload
E5017,U1199,2024-03-27 12:00:00,search
E5018,U1041,2024-02-03 08:00:00,login
E5019,U1191,2024-03-28 07:00:00,file_upload
E5020,U1014,2024-01-07 03:00:00,signup
E5021,U1110,2024-01-18 02:00:00,signup
E5022,U1156,2024-01-28 05:00:00,signup
E5023,U1032,2024-02-13 20:00:00,login
E5024,U1154,2024-01-28 07:00:00,homepage_view
E5025,U1163,2024-02-23 21:00:00,settings_click
E5026,U1156,2024-03-05 03:00:00,signup
E5027,U1037,2024-01-21 10:00:00,homepage_view
E5028,U1184,2024-01-13 16:00:00,login
E5029,U1096,2024-02-23 09:00:00,homepage_view
E5030,U1154,2024-02-22 11:00:00,homepage_view
E5031,U1182,2024-02-16 20:00:00,document_edit
E5032,U1032,2024-03-14 13:00:00,login
E5033,U1195,2024-01-13 04:00:00,login
E5034,U1085,2024-01-24 01:00:00,file_upload
E5035,U1065,2024-03-26 16:00:00,document_edit
E5036,U1009,2024-01-14 09:00:00,login
E5037,U1004,2024-02-04 02:00:00,signup
E5038,U1122,2024-01-17 11:00:00,signup
E5039,U1073,2024-02-23 19:00:00,file_upload
E5040,U1096,2024-01-24 10:00:00,homepage_view
E5041,U1117,2024-01-25 03:00:00,homepage_view
E5042,U1037,2024-02-29 05:00:00,file_upload
E5043,U1140,2024-03-05 19:00:00,login
E5044,U1158,2024-01-28 15:00:00,homepage_view
E5045,U1046,2024-02-16 16:00:00,homepage_view
E5046,U1108,2024-02-27 11:00:00,settings_click
E5047,U1179,2024-01-27 21:00:00,search
E5048,U1183,2024-02-22 09:00:00,document_edit
E5049,U1014,2024-02-28 14:00:00,login
E5050,U1156,2024-02-03 04:00:00,login
E5051,U1135,2024-01-06 06:00:00,logout
E5052,U1004,2024-01-25 00:00:00,logout
E5053,U1156,2024-02-24 06:00:00,homepage_view
E5054,U1046,2024-02-26 11:00:00,file_upload
E5055,U1067,2024-01-16 15:00:00,homepage_view
E5056,U1075,2024-02-12 20:00:00,homepage_view
E5057,U1172,2024-03-17 06:00:00,document_edit
E5058,U1129,2024-02-20 08:00:00,login
E5059,U1154,2024-02-01 10:00:00,settings_click
E5060,U1094,2024-01-08 00:00:00,homepage_view
E5061,U1114,2024-03-27 23:00:00,file_upload
E5062,U1163,2024-03-12 12:00:00,settings_click
E5063,U1035,2024-03-26 03:00:00,settings_click
E5064,U1025,2024-03-07 08:00:00,homepage_view
E5065,U1042,2024-01-29 01:00:00,signup
E5066,U1026,2024-01-28 12:00:00,document_edit
E5067,U1068,2024-03-19 22:00:00,homepage_view
E5068,U1147,2024-02-13 03:00:00,logout
E5069,U1010,2024-03-30 07:00:00,settings_click
E5070,U1073,2024-01-09 22:00:00,homepage_view
E5071,U1103,2024-01-05 23:00:00,homepage_view
E5072,U1037,2024-03-24 17:00:00,homepage_view
E5073,U1133,2024-03-15 14:00:00,settings_click
E5074,U1199,2024-02-01 21:00:00,homepage_view
E5075,U1022,2024-01-17 11:00:00,login
E5076,U1046,2024-03-11 09:00:00,login
E5077,U1089,2024-02-26 09:00:00,login
E5078,U1045,2024-02-14 18:00:00,homepage_view
E5079,U1106,2024-01-11 12:00:00,document_edit
E5080,U1139,2024-02-22 07:00:00,settings_click
E5081,U1140,2024-03-08 14:00:00,settings_click
E5082,U1103,2024-01-28 10:00:00,login
E5083,U1189,2024-03-05 16:00:00,homepage_view
E5084,U1110,2024-02-16 19:00:00,signup
E5085,U1103,2024-03-28 21:00:00,file_upload
E5086,U1059,2024-02-29 14:00:00,homepage_view
E5087,U1170,2024-01-31 08:00:00,settings_click
E5088,U1099,2024-02-15 17:00:00,search
E5089,U1067,2024-01-26 16:00:00,homepage_view
E5090,U1132,2024-01-05 19:00:00,settings_click
E5091,U1119,2024-02-21 08:00:00,settings_click
E5092,U1036,2024-03-15 23:00:00,homepage_view
E5093,U1071,2024-02-23 00:00:00,login
E5094,U1126,2024-02-19 05:00:00,signup
E5095,U1105,2024-01-27 01:00:00,document_edit
E5096,U1091,2024-01-15 20:00:00,homepage_view
E5097,U1030,2024-02-15 04:00:00,login
E5098,U1121,2024-01-06 05:00:00,logout
E5099,U1136,2024-03-02 21:00:00,login
E5100,U1050,2024-03-02 17:00:00,homepage_view
E5101,U1028,2024-03-18 09:00:00,document_edit
E5102,U1039,2024-02-15 12:00:00,signup
E5103,U1040,2024-01-03 05:00:00,login
E5104,U1010,2024-01-08 11:00:00,login
E5105,U1150,2024-02-02 16:00:00,homepage_view
E5106,U1000,2024-03-15 12:00:00,homepage_view
E5107,U1045,2024-02-19 10:00:00,file_upload
E5108,U1100,2024-01-28 11:00:00,homepage_view
E5109,U1148,2024-03-10 08:00:00,file_upload
E5110,U1089,2024-01-16 03:00:00,homepage_view
E5111,U1109,2024-02-17 23:00:00,signup
E5112,U1163,2024-03-04 11:00:00,document_edit
E5113,U1181,2024-01-11 04:00:00,settings_click
E5114,U1056,2024-03-29 17:00:00,settings_click
E5115,U1000,2024-01-19 22:00:00,homepage_view
E5116,U1062,2024-02-24 05:00:00,signup
E5117,U1181,2024-03-22 05:00:00,homepage_view
E5118,U1054,2024-01-04 11:00:00,login
E5119,U1114,2024-01-29 01:00:00,file_upload
E5120,U1167,2024-01-17 10:00:00,settings_click
E5121,U1142,2024-02-12 20:00:00,settings_click
E5122,U1148,2024-03-20 01:00:00,signup
E5123,U1174,2024-02-03 22:00:00,login
E5124,U1052,2024-01-08 12:00:00,search
E5125,U1136,2024-01-08 03:00:00,file_upload
E5126,U1179,2024-03-05 10:00:00,homepage_view
E5127,U1056,2024-02-08 16:00:00,signup
E5128,U1116,2024-02-28 19:00:00,login
E5129,U1153,2024-03-28 17:00:00,homepage_view
E5130,U1168,2024-03-26 21:00:00,homepage_view
E5131,U1034,2024-02-13 08:00:00,homepage_view
E5132,U1062,2024-02-06 09:00:00,document_edit
E5133,U1024,2024-02-05 04:00:00,homepage_view
E5134,U1089,2024-01-28 09:00:00,homepage_view
E5135,U1074,2024-02-12 20:00:00,homepage_view
E5136,U1037,2024-03-28 09:00:00,file_upload
E5137,U1129,2024-03-06 22:00:00,search
E5138,U1134,2024-03-12 15:00:00,login
E5139,U1161,2024-01-22 04:00:00,login
E5140,U1090,2024-01-27 02:00:00,logout
E5141,U1016,2024-01-13 12:00:00,homepage_view
E5142,U1127,2024-01-10 03:00:00,homepage_view
E5143,U1170,2024-01-09 21:00:00,homepage_view
E5144,U1186,2024-01-27 01:00:00,homepage_view
E5145,U1107,2024-01-01 06:00:00,signup
E5146,U1178,2024-03-07 19:00:00,settings_click
E5147,U1181,2024-01-20 20:00:00,document_edit
E5148,U1151,2024-02-04 02:00:00,login
E5149,U1024,2024-03-30 13:00:00,settings_click
E5150,U1198,2024-01-17 17:00:00,homepage_view
E5151,U1179,2024-02-14 19:00:00,homepage_view
E5152,U1197,2024-03-24 20:00:00,login
E5153,U1087,2024-03-22 03:00:00,document_edit
E5154,U1160,2024-03-05 17:00:00,homepage_view
E5155,U1176,2024-01-01 12:00:00,login
E5156,U1028,2024-01-20 19:00:00,document_edit
E5157,U1062,2024-03-27 09:00:00,document_edit
E5158,U1149,2024-02-28 10:00:00,document_edit
E5159,U1153,2024-02-10 08:00:00,signup
E5160,U1155,2024-01-05 00:00:00,homepage_view
E5161,U1113,2024-01-17 21:00:00,login
E5162,U1048,2024-02-10 03:00:00,homepage_view
E5163,U1198,2024-03-09 10:00:00,settings_click
E5164,U1080,2024-02-25 18:00:00,login
E5165,U1083,2024-01-21 02:00:00,signup
E5166,U1104,2024-03-16 18:00:00,file_upload
E5167,U1176,2024-01-19 12:00:00,login
E5168,U1147,2024-02-29 06:00:00,signup
E5169,U1117,2024-02-16 22:00:00,file_upload
E5170,U1085,2024-03-11 07:00:00,search
E5171,U1062,2024-01-05 20:00:00,document_edit
E5172,U1188,2024-03-18 03:00:00,homepage_view
E5173,U1103,2024-01-23 09:00:00,file_upload
E5174,U1048,2024-03-24 14:00:00,file_upload
E5175,U1070,2024-01-08 08:00:00,homepage_view
E5176,U1000,2024-01-19 15:00:00,homepage_view
E5177,U1140,2024-02-15 13:00:00,search
E5178,U1178,2024-03-08 14:00:00,homepage_view
E5179,U1122,2024-02-06 00:00:00,file_upload
E5180,U1183,2024-03-07 14:00:00,login
E5181,U1061,2024-01-24 07:00:00,login
E5182,U1031,2024-03-03 03:00:00,homepage_view
E5183,U1157,2024-01-24 23:00:00,file_upload
E5184,U1028,2024-01-04 02:00:00,signup
E5185,U1048,2024-02-03 16:00:00,login
E5186,U1172,2024-03-27 20:00:00,document_edit
E5187,U1029,2024-01-23 12:00:00,document_edit
E5188,U1143,2024-03-09 20:00:00,logout
E5189,U1167,2024-03-02 08:00:00,login
E5190,U1018,2024-02-26 21:00:00,signup
E5191,U1017,2024-03-10 04:00:00,logout
